,Name,Year,Genre,Director,Star1,Star2,Star3,Star4,Star5,Runtime,Rating,Metascore,IMDB rating,Votes,Gross,Inflation adjusted,Total Oscar Wins,numStarW,numStarN,starWon,starNom,numMovieW,numMovieN,numOtherW,numOtherN
0,Star Wars: Episode VII - The Force Awakens,2015,0,J.J. Abrams,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,,136,0,81,8.0,777737,936660000,998872170,0,0,0,0,0,0,0,0,0
1,Avatar,2009,0,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,,162,0,83,7.8,1034858,760510000,896004440,0,0,2,0,0,0,0,0,0
2,Titanic,1997,1,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,,194,0,75,7.8,946606,659330000,1038221796,1,1,2,0,1,0,0,0,0
3,Jurassic World,2015,2,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Judy Greer,,124,0,59,7.0,534049,652270000,695593225,0,0,0,0,0,0,0,0,0
4,The Avengers,2012,2,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,,143,0,69,8.1,1162356,623360000,686255742,0,0,4,0,0,0,0,0,0
5,Star Wars: Episode VIII - The Last Jedi,2017,0,Rian Johnson,Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher,,152,0,85,7.2,453289,620180000,639509770,0,0,0,0,0,0,0,0,0
6,The Dark Knight,2008,3,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,,152,0,84,9.0,2039249,534860000,627911567,2,2,5,1,0,0,0,0,0
7,Rogue One,2016,2,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,,133,0,65,7.8,470741,532180000,560456327,0,0,1,0,0,0,0,0,0
8,Beauty and the Beast,2017,4,Bill Condon,Emma Watson,Dan Stevens,Luke Evans,Josh Gad,,129,0,65,7.2,233844,504010000,519718984,0,0,0,0,0,0,0,0,2
9,Finding Dory,2016,5,Andrew Stanton,Angus MacLane,Ellen DeGeneres,Albert Brooks,Ed O'Neill,Kaitlin Olson,97,1,77,7.3,210611,486300000,512138584,0,0,1,0,0,0,0,0,0
10,Star Wars: Episode I - The Phantom Menace,1999,0,George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman,Jake Lloyd,,136,0,51,6.5,648198,474540000,720062912,0,0,1,0,0,0,0,0,0
11,Avengers: Age of Ultron,2015,2,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,,141,0,66,7.3,642789,459010000,489497059,0,0,4,0,0,0,0,0,0
12,The Dark Knight Rises,2012,6,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,,164,2,78,8.4,1372809,448140000,493356405,1,1,2,0,0,0,0,0,0
13,Shrek 2,2004,5,Andrew Adamson,Kelly Asbury,Conrad Vernon,Mike Myers,Eddie Murphy,Cameron Diaz,93,1,75,7.2,377875,436470000,584074435,0,0,0,0,0,0,0,0,0
14,E.T. the Extra-Terrestrial,1982,7,Steven Spielberg,Henry Thomas,Drew Barrymore,Peter Coyote,Dee Wallace,,115,1,91,7.9,334201,435110000,1139670197,0,0,0,0,0,0,0,0,0
15,The Hunger Games: Catching Fire,2013,2,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Philip Seymour Hoffman,,146,0,76,7.5,571590,424670000,460768836,2,2,4,0,0,0,0,0,0
16,Pirates of the Caribbean: Dead Man's Chest,2006,0,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Jack Davenport,,151,0,53,7.3,608730,423320000,530766677,0,0,3,0,0,0,0,0,0
17,Toy Story 3,2010,5,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,,103,1,92,8.3,673445,415000000,481048084,2,2,6,0,0,0,0,0,0
18,Wonder Woman,2017,0,Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Lucy Davis,,141,0,76,7.5,476651,412560000,425418670,0,0,0,0,0,0,0,0,0
19,Iron Man Three,2013,2,Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle,,130,0,62,7.2,678141,409010000,443777666,1,1,3,0,0,0,0,0,0
20,Captain America: Civil War,2016,2,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,147,0,75,7.8,562665,408080000,429762520,0,0,2,0,0,0,0,0,0
21,The Hunger Games,2012,2,Gary Ross,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci,,142,0,68,7.2,790748,408010000,449177370,0,0,2,0,0,0,0,0,0
